iter	Accuracy	Logloss
0	0.8709366267	0.5696472249
1	0.8753628414	0.4669569128
2	0.8780582349	0.3969920365
3	0.8792481745	0.3511474853
4	0.8811412603	0.3242144503
5	0.8838907419	0.299096015
6	0.8835662129	0.2848867955
7	0.8851167403	0.2729704086
8	0.8866312089	0.262928224
9	0.887541693	0.2560401838
10	0.8879293248	0.2510738434
11	0.8897593077	0.2465876353
12	0.8894347787	0.2430522841
13	0.8897863518	0.2397547017
14	0.8896240873	0.2371265285
15	0.8908591003	0.2349417989
16	0.8911385558	0.2322585303
17	0.891841702	0.2305219981
18	0.8924276571	0.2291567429
19	0.8931488326	0.2275092762
20	0.8933651853	0.2264306553
21	0.8932389795	0.225143428
22	0.8940593167	0.2242153883
23	0.894374831	0.2233509252
24	0.8945551249	0.2223558053
25	0.8947985216	0.2217849578
26	0.8948075363	0.2212078074
27	0.8950058596	0.220469126
28	0.8951861534	0.2197693158
29	0.895258271	0.2192977515
30	0.895934373	0.2184860865
31	0.8959794465	0.2178008123
32	0.8964301812	0.2173173033
33	0.8964391959	0.216835383
34	0.8968989453	0.2160922839
35	0.8971693861	0.2156724781
36	0.8977553412	0.2148904099
37	0.8977102677	0.2145558867
38	0.8980528261	0.2139728436
39	0.898025782	0.2134118723
40	0.8982601641	0.2131285459
41	0.8988010457	0.2125354197
42	0.8989903543	0.212218956
43	0.8992878392	0.2116811373
44	0.8998106914	0.2110923031
45	0.8999459118	0.2106433508
46	0.9004597494	0.2101784133
47	0.9005408816	0.2099971275
48	0.9009826016	0.2092827678
49	0.9012350131	0.2090152744
50	0.9012259984	0.2087322454
51	0.9016947625	0.2081435077
52	0.9018119535	0.2079342744
53	0.9019832327	0.2075499161
54	0.901974218	0.2072225117
55	0.9021454972	0.2069518563
56	0.902325791	0.2066843552
57	0.9028125845	0.2062644295
58	0.903182187	0.2060931798
59	0.9032362751	0.2054977841
60	0.9035608041	0.2052029532
61	0.9035427747	0.2052012267
62	0.9035788335	0.2051070918
63	0.904065627	0.2047192946
64	0.9042909943	0.2046161919
65	0.904507347	0.2043122951
66	0.9044172	0.2041361095
67	0.9046515821	0.2037713937
68	0.9049851258	0.2033735574
69	0.9051023168	0.2030932235
70	0.9052195078	0.2028270783
71	0.9052014784	0.2026056487
72	0.9053547282	0.2023197279
73	0.9055620662	0.2020560315
74	0.9056522131	0.2017885619
75	0.9057513747	0.2016888297
76	0.906157036	0.2014941538
77	0.9061480213	0.201494013
78	0.9063102858	0.2011325864
