iter	Passed	Remaining
0	100	31871
1	319	50706
2	562	59301
3	714	56242
4	863	54218
5	982	51230
6	1151	51307
7	1306	50773
8	1482	51063
9	1620	50061
10	1742	48791
11	1863	47678
12	1974	46483
13	2113	46041
14	2276	46142
15	2425	45940
16	2537	45083
17	2641	44171
18	2766	43678
19	2889	43200
20	2991	42446
21	3163	42701
22	3317	42692
23	3460	42539
24	3611	42473
25	3764	42424
26	3948	42704
27	4085	42463
28	4228	42287
29	4331	41727
30	4468	41516
31	4632	41546
32	4811	41695
33	4958	41566
34	5082	41242
35	5202	40894
36	5321	40558
37	5445	40265
38	5572	40006
39	5730	39971
40	5858	39724
41	5985	39475
42	6125	39314
43	6273	39208
44	6404	38993
45	6521	38703
46	6644	38455
47	6758	38158
48	6866	37837
49	7005	37688
50	7134	37492
51	7270	37329
52	7429	37289
53	7603	37315
54	7751	37207
55	7906	37132
56	8046	36985
57	8182	36821
58	8373	36899
59	8544	36881
60	8706	36823
61	8751	36276
62	8915	36229
63	9061	36104
64	9243	36120
65	9429	36144
66	9583	36046
67	9731	35921
68	9946	36038
69	10131	36038
70	10270	35874
71	10423	35757
72	10665	35942
73	10796	35746
74	10921	35532
75	11072	35404
76	11215	35247
77	11245	34747
78	11375	34559
79	11529	34443
80	11664	34273
81	11825	34178
82	11961	34011
83	12083	33804
84	12204	33599
85	12320	33379
86	12433	33156
87	12552	32949
88	12685	32782
89	12810	32596
90	12931	32399
91	13049	32198
92	13067	31755
93	13176	31539
94	13298	31355
95	13411	31153
96	13522	30948
97	13657	30798
98	13829	30731
99	13953	30558
100	14086	30404
101	14219	30251
102	14344	30081
103	14463	29899
104	14598	29752
105	14715	29569
106	14838	29399
107	14875	29061
108	15003	28905
109	15141	28768
110	15256	28589
111	15396	28455
112	15540	28331
113	15673	28184
114	15793	28016
115	15911	27845
116	16037	27689
117	16159	27525
118	16276	27355
119	16380	27164
120	16495	26992
121	16615	26830
122	16738	26673
123	16877	26541
124	17010	26399
125	17142	26258
126	17194	25994
127	17339	25874
128	17483	25751
129	17613	25607
130	17631	25303
131	17752	25149
132	17885	25012
133	18005	24858
134	18131	24711
135	18261	24572
136	18399	24442
137	18415	24154
138	18522	23986
139	18659	23857
140	18786	23715
141	18902	23561
142	19032	23425
143	19159	23284
144	19294	23153
145	19419	23010
146	19536	22859
147	19689	22749
148	19836	22631
149	19884	22403
150	20018	22272
151	20155	22144
152	20418	22153
153	20603	22074
154	20797	22004
155	20960	21900
156	21137	21810
157	21287	21691
158	21463	21598
159	21654	21518
160	21791	21385
161	21971	21293
162	22121	21171
163	22283	21061
164	22425	20930
165	22564	20797
166	22712	20672
167	22853	20540
168	22995	20410
169	23121	20265
170	23246	20120
171	23386	19987
172	23521	19850
173	23652	19710
174	23790	19575
175	23922	19437
176	24056	19299
177	24200	19170
178	24352	19046
179	24499	18919
180	24630	18779
181	24765	18641
182	24903	18507
183	25059	18385
184	25191	18247
185	25322	18106
186	25458	17970
187	25585	17827
188	25714	17687
189	25838	17542
190	25982	17412
191	26111	17271
192	26242	17132
193	26374	16993
194	26515	16861
195	26646	16721
196	26774	16581
197	26910	16445
198	27036	16303
199	27159	16159
200	27284	16017
201	27413	15877
202	27551	15743
203	27688	15608
204	27820	15470
205	27953	15333
206	28082	15194
207	28210	15054
208	28345	14918
209	28471	14777
210	28609	14643
211	28734	14502
212	28882	14373
213	29015	14236
214	29139	14095
215	29275	13959
216	29393	13816
217	29512	13673
218	29633	13531
219	29764	13393
220	29894	13256
221	30014	13114
222	30125	12969
223	30258	12832
224	30387	12695
225	30511	12555
226	30637	12417
227	30758	12276
228	30887	12139
229	31009	11999
230	31125	11857
231	31249	11718
232	31365	11576
233	31480	11435
234	31606	11297
235	31728	11158
236	31848	11019
237	31972	10881
238	32101	10745
239	32222	10606
240	32344	10468
241	32488	10337
242	32627	10204
243	32752	10067
244	32871	9928
245	33000	9792
246	33136	9659
247	33269	9524
248	33392	9387
249	33524	9252
250	33663	9119
251	33788	8983
252	33917	8847
253	34042	8711
254	34165	8574
255	34369	8458
256	34550	8335
257	34703	8205
258	34842	8071
259	34969	7935
260	35100	7800
261	35215	7661
262	35334	7523
263	35466	7388
264	35595	7253
265	35712	7115
266	35839	6980
267	35958	6842
268	36079	6706
269	36206	6570
270	36334	6435
271	36461	6300
272	36575	6162
273	36685	6025
274	36812	5889
275	36939	5755
276	37056	5618
277	37182	5483
278	37315	5349
279	37431	5213
280	37546	5077
281	37660	4941
282	37773	4805
283	37900	4670
284	38057	4540
285	38198	4407
286	38320	4272
287	38457	4139
288	38601	4007
289	38842	3884
290	39006	3753
291	39127	3617
292	39256	3483
293	39380	3348
294	39505	3213
295	39632	3079
296	39757	2944
297	39883	2810
298	40021	2677
299	40159	2543
300	40295	2409
301	40407	2274
302	40534	2140
303	40665	2006
304	40791	1872
305	40923	1738
306	41035	1604
307	41150	1469
308	41268	1335
309	41378	1201
310	41498	1067
311	41616	933
312	41732	799
313	41850	666
314	41974	533
315	42102	399
316	42237	266
317	42372	133
318	42544	0
